2.9760049468742142;0.0	4.140745407397999;0.0	4.203621756689412;0.0	4.095025818274832;0.0	4.359577865847412;0.0	
2.958865151152109;0.0	4.298945619246896;0.0	4.317806786990212;0.0	4.12893921181328;0.0	4.202900069842309;0.0	
3.6992105810012363;0.0	3.9584158223223653;0.0	4.1227008017050535;0.0	4.154216162755902;0.0	4.305441388987793;0.0	
1.5921479800342528;0.0	4.386668105677113;0.0	4.071492107433573;0.0	4.2216814969698;0.0	4.328303110568564;0.0	
2.391240843302658;0.0	3.863780092610841;0.0	4.0521519009947236;0.0	4.223295954560954;0.0	4.250673241789577;0.0	
3.041969045376431;0.0	3.867174965012718;0.0	4.083085786825552;0.0	4.400921043663716;0.0	4.214000041097734;0.0	
3.875488965154752;0.0	4.2539120515038995;0.0	4.16127290885827;0.0	4.084470414199698;0.0	4.332012435667278;0.0	
3.1228530582080003;0.0	3.8513035598013765;0.0	4.100581538659136;0.0	4.01650898856566;0.0	4.1257812755332814;0.0	
3.463663448735996;0.0	4.308765976669334;0.0	4.153257798321854;0.0	4.132916037531584;0.0	4.1336921638426;0.0	
1.7496507643665065;0.0	4.388680614899692;0.0	4.241250128152379;0.0	4.279726802157561;0.0	4.561797544708815;0.0	
2.7908489633413365;0.0	4.169945943405196;0.0	4.125986300769654;0.0	3.99755051343848;0.0	4.366289536823911;0.0	
3.025592600175778;0.0	4.29131617996891;0.0	4.20899867077273;0.0	4.367101013600924;0.0	4.201811473058775;0.0	
3.29398208155497;0.0	4.111188928732014;0.0	4.107167830700034;0.0	4.123441961765042;0.0	4.155615954166019;0.0	
7.766216366677833;0.0	9.708404708406498;0.0	7.898804254300982;0.0	7.337346389383395;0.0	6.301893122867628;0.0	
9.201052270335676;0.0	9.760922734630217;0.0	9.037121938185626;0.0	8.070189356495522;0.0	7.831539964182332;0.0	
9.02167011403866;0.0	9.742196026896684;0.0	8.57503556433149;0.0	7.717629433268493;0.0	7.165759878714079;0.0	
7.735866357205671;0.0	9.985462827853752;0.0	8.66422866438303;0.0	7.078271513904258;0.0	6.251815350848851;0.0	
8.565175555290436;0.0	9.323895328922418;0.0	7.6749294950117495;0.0	6.981492331689112;0.0	6.077682035335855;0.0	
8.130967966053818;0.0	10.182304863660878;0.0	9.112349293513162;0.0	7.769499808561825;0.0	7.479070960685622;0.0	
7.776915223265256;0.0	10.18758503463269;0.0	9.1272359893113;0.0	6.595412060881885;0.0	6.061428925413018;0.0	
7.146742150971622;0.0	10.09869840653572;0.0	8.787095159600508;0.0	7.558161889265141;0.0	6.606099201369371;0.0	
8.780691111167453;0.0	9.985795154256875;0.0	8.658557569415159;0.0	7.723142937907477;0.0	6.885248712795493;0.0	
8.753731358269343;0.0	9.780963990144537;0.0	8.900224720349309;0.0	8.096532741463916;0.0	7.747353141720309;0.0	
7.976549688025462;0.0	9.704033622521186;0.0	8.466281084118377;0.0	7.489946556389956;0.0	6.8277470235641475;0.0	
8.378413483436587;0.0	9.731116673692286;0.0	8.344465631137718;0.0	7.202163605578186;0.0	6.116291779957589;0.0	
8.393811429623128;0.0	9.544342862493128;0.0	8.746765701621824;0.0	7.191793015019296;0.0	6.750662198914683;0.0	
8.550749015197917;0.0	10.029968774586854;0.0	9.152533465967132;0.0	7.4733007007812455;0.0	7.052259102814162;0.0	
8.40011890519226;0.0	10.04792511343868;0.0	9.283003393945263;0.0	7.340707059397452;0.0	6.286834299528632;0.0	
8.463209157335402;0.0	9.831966100375082;0.0	7.960840765690405;0.0	7.421244409825015;0.0	6.52226169337216;0.0	
8.516961866999095;0.0	9.948689603911376;0.0	8.829279890551685;0.0	7.941437878247429;0.0	7.425590732671497;0.0	
8.898750281404903;0.0	9.775628841800298;0.0	8.7984110530578;0.0	7.699925063826985;0.0	7.378860859728174;0.0	
8.162903553069578;0.0	9.667639266229699;0.0	8.533203720228022;0.0	7.058234939860382;0.0	6.106395633430722;0.0	
7.656742444487451;0.0	9.445836952931884;0.0	7.8237532670686765;0.0	7.018286400692108;0.0	6.099921030894856;0.0	
8.15607818897206;0.0	10.058417137705383;0.0	9.016235502951657;0.0	7.799841334898754;0.0	7.422148877725644;0.0	
8.214730014271193;0.0	10.038974502431223;0.0	9.19748898657633;0.0	6.766918343884092;0.0	6.1393115196269825;0.0	
8.031401077606809;0.0	9.971227489117881;0.0	9.04432563379996;0.0	7.70193395996425;0.0	6.358398686487704;0.0	
9.0451551890142;0.0	10.073399866006982;0.0	8.1730753061313;0.0	7.564639887140098;0.0	6.4344482976532085;0.0	
8.827267128042648;0.0	9.844525147522468;0.0	9.008603114966878;0.0	7.965223711202074;0.0	8.0172005855925;0.0	
8.208810004263187;0.0	9.66529545635778;0.0	8.738226804619112;0.0	7.408576943930824;0.0	6.811264744452986;0.0	
6.849233749746063;0.0	10.110210640685693;0.0	8.420319813398075;0.0	7.144076802931064;0.0	5.873446804780524;0.0	
